강수분석,,
[검색조건],,
자료구분 : 년,,
자료형태 : 기본,,
지역/지점 : 광주,,
기간 : 1904~2023,,
년,지점,강수량(mm)
1939,156,569.9
1940,156,1358.4
1941,156,1413.3
1942,156,867.9
1943,156,968.3
1944,156,884.9
1945,156,1441.8
1946,156,1416.1
1947,156,1131.4
1948,156,1560.4
1949,156,1075.7
1950,156,1076.7
1951,156,843.4
1952,156,1562.1
1953,156,1157.6
1954,156,1381.3
1955,156,984.9
1956,156,1513.6
1957,156,1221.6
1958,156,1513.9
1959,156,1153.2
1960,156,1156.6
1961,156,1538.7
1962,156,1474.7
1963,156,1471.3
1964,156,1239.4
1965,156,1257.7
1966,156,1155.9
1967,156,779
1968,156,835.5
1969,156,1723.3
1970,156,1313.8
1971,156,1291.7
1972,156,1824.6
1973,156,1171.3
1974,156,1730.1
1975,156,1436
1976,156,1089
1977,156,914.8
1978,156,1571.1
1979,156,1337.6
1980,156,1763.4
1981,156,1340.6
1982,156,874.3
1983,156,1026.7
1984,156,1271
1985,156,1995.6
1986,156,1357.9
1987,156,1611
1988,156,799.9
1989,156,2020.4
1990,156,1484.2
1991,156,1480.5
1992,156,1098.1
1993,156,1372.1
1994,156,776.4
1995,156,764.4
1996,156,1268.8
1997,156,1479.2
1998,156,1943
1999,156,1429.7
2000,156,1511
2001,156,1129.9
2002,156,1458.7
2003,156,1994.1
2004,156,1742.3
2005,156,1289.6
2006,156,1520.2
2007,156,1620.6
2008,156,1007.2
2009,156,1488.2
2010,156,1573.1
2011,156,1300.3
2012,156,1626.8
2013,156,1245.4
2014,156,1290.3
2015,156,1049.6
2016,156,1482.3
2017,156,936.6
2018,156,1427.9
2019,156,1085.9
2020,156,2027
2021,156,1303.8
2022,156,769.9
2023,156,2116.1
