기온분석,,,,
[검색조건],,,,
자료구분 : 년,,,,
자료형태 : 기본,,,,
지역/지점 : 광주,,,,
기간 : 1904~2023,,,,
년,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
1939,156,,,
1940,156,12,6.8,18.1
1941,156,12.3,7.5,18.1
1942,156,12.4,7.3,18.5
1943,156,12.3,7.1,18.6
1944,156,12.3,7.2,18.3
1945,156,11.9,7,17.7
1946,156,13,8.4,18.7
1947,156,11.7,7.1,17.4
1948,156,13.3,8.7,19
1949,156,12.9,8.6,18.4
1950,156,13.3,8.7,18.9
1951,156,13,8.5,18.6
1952,156,12.9,8.5,18.3
1953,156,13,8.7,18.5
1954,156,13.2,8.8,18.7
1955,156,13.3,8.5,19
1956,156,12.2,7.9,17.5
1957,156,12.4,7.8,17.9
1958,156,13.3,8.7,18.8
1959,156,13.9,9.4,19.3
1960,156,13.5,9.3,18.6
1961,156,13.8,9.7,18.7
1962,156,13,8.7,18
1963,156,12.5,8.5,17.3
1964,156,13.9,9.8,18.7
1965,156,12.7,8.3,17.9
1966,156,13.4,9.1,18.4
1967,156,13.3,8.9,18.5
1968,156,13.2,8.8,18.5
1969,156,12.6,8.4,17.5
1970,156,12.8,8.7,17.8
1971,156,12.9,8.6,18
1972,156,13.2,9,18.2
1973,156,13.4,8.9,18.7
1974,156,12.5,7.9,17.9
1975,156,13.5,9.5,18.6
1976,156,12.6,8.4,18
1977,156,13.4,9,19.1
1978,156,13.8,9.3,19.7
1979,156,13.6,8.9,19.3
1980,156,12.3,7.9,17.5
1981,156,12.7,8.2,18
1982,156,13.6,8.8,19.3
1983,156,13.5,9.3,18.8
1984,156,13.1,8.8,18.3
1985,156,13.3,9.2,18.1
1986,156,12.7,8.5,18
1987,156,13.4,9.1,18.7
1988,156,13.4,8.9,18.9
1989,156,13.9,9.7,19.2
1990,156,14.5,10.3,19.6
1991,156,13.7,9.5,19
1992,156,13.7,9.1,19.1
1993,156,13.1,8.8,18.4
1994,156,14.6,9.9,20.3
1995,156,13.4,8.9,18.7
1996,156,13.2,8.9,18.6
1997,156,14.1,9.5,19.6
1998,156,15,10.7,20.1
1999,156,14.3,9.9,19.4
2000,156,13.5,9,19
2001,156,13.8,9.4,19.4
2002,156,13.9,9.4,19.3
2003,156,13.6,9.5,18.4
2004,156,14.3,9.8,19.8
2005,156,13.6,9.4,18.7
2006,156,14.2,10,19.2
2007,156,14.6,10.6,19.6
2008,156,14.6,10.4,19.8
2009,156,14.6,10.2,20.1
2010,156,14.2,10.1,19.2
2011,156,13.7,9.5,19
2012,156,13.7,9.5,18.9
2013,156,14.2,9.8,19.6
2014,156,14.3,10,19.7
2015,156,14.6,10.4,19.8
2016,156,15,10.9,20.1
2017,156,14.6,10.2,20.1
2018,156,14.6,10.3,20.1
2019,156,14.7,10.5,20
2020,156,14.5,10.5,19.6
2021,156,15.1,10.8,20.3
2022,156,14.8,10.5,20.2
2023,156,15.3,11,20.5
			,,,,
