강수분석,,
[검색조건],,
자료구분 : 년,,
자료형태 : 기본,,
지역/지점 : 대전,,
기간 : 1904~2023,,
년,지점,강수량(mm)
1969,133,1807.1
1970,133,1521.2
1971,133,1420.2
1972,133,1380
1973,133,1102.9
1974,133,1266.2
1975,133,1383
1976,133,939.3
1977,133,1099.1
1978,133,1465.7
1979,133,1399.1
1980,133,1598.7
1981,133,1206.5
1982,133,1007.6
1983,133,1228.3
1984,133,1318.8
1985,133,1692.8
1986,133,1244.5
1987,133,1880.7
1988,133,920.9
1989,133,1538
1990,133,1496.4
1991,133,1182.1
1992,133,1036.9
1993,133,1533.1
1994,133,857.9
1995,133,1136.2
1996,133,1279.2
1997,133,1765.9
1998,133,2070
1999,133,1455.2
2000,133,1707.5
2001,133,828.7
2002,133,1378.7
2003,133,1748.9
2004,133,1496.5
2005,133,1656.1
2006,133,1195.2
2007,133,1750.9
2008,133,1037.6
2009,133,1090.4
2010,133,1419.7
2011,133,1943.4
2012,133,1409.5
2013,133,1120.2
2014,133,1117.7
2015,133,822.7
2016,133,1228.4
2017,133,1127.5
2018,133,1542.1
2019,133,984.2
2020,133,1614
2021,133,1109.5
2022,133,1203.1
2023,133,2042.5
