강수분석,,
[검색조건],,
자료구분 : 년,,
자료형태 : 기본,,
지역/지점 : 부산,,
기간 : 1904~2023,,
년,지점,강수량(mm)
1904,159,1189.3
1905,159,2047.1
1906,159,1361.5
1907,159,1021.2
1908,159,1416
1909,159,1210.9
1910,159,1542.8
1911,159,1919.5
1912,159,1323.7
1913,159,954.5
1914,159,1635.2
1915,159,1647.4
1916,159,1910.9
1917,159,906
1918,159,1694.4
1919,159,1357.7
1920,159,1357.2
1921,159,1309.4
1922,159,1122.7
1923,159,1599.5
1924,159,1182.1
1925,159,1478
1926,159,1744.2
1927,159,1670.8
1928,159,1208.3
1929,159,772.7
1930,159,1691.4
1931,159,1378
1932,159,857.7
1933,159,1891.6
1934,159,1772.5
1935,159,1473.9
1936,159,1672.3
1937,159,1157.7
1938,159,1391.1
1939,159,807.6
1940,159,1469.2
1941,159,1391.5
1942,159,1126.6
1943,159,999.7
1944,159,949.6
1945,159,1279.2
1946,159,1920.6
1947,159,1283.1
1948,159,1958.8
1949,159,1236.5
1950,159,1292.2
1951,159,1062
1952,159,1284.2
1953,159,1440.7
1954,159,1755.5
1955,159,1130.3
1956,159,2024.5
1957,159,1521.9
1958,159,1414.1
1959,159,1306.3
1960,159,1198.6
1961,159,1821.8
1962,159,1235.4
1963,159,2143
1964,159,1130.6
1965,159,1498.4
1966,159,1062
1967,159,1036.9
1968,159,1161.7
1969,159,1800.4
1970,159,2138.1
1971,159,1087.3
1972,159,2195.5
1973,159,1143.1
1974,159,1698
1975,159,1536.1
1976,159,1051.9
1977,159,1142.2
1978,159,1241.9
1979,159,1708.3
1980,159,1913.3
1981,159,1289.9
1982,159,1168.1
1983,159,1770.2
1984,159,1492.6
1985,159,2200.5
1986,159,1143.4
1987,159,1422.9
1988,159,901.5
1989,159,1750.1
1990,159,1270.9
1991,159,2167.1
1992,159,1308.9
1993,159,1615.3
1994,159,959.9
1995,159,1005.7
1996,159,1289.6
1997,159,1598.1
1998,159,2028.8
1999,159,2396.7
2000,159,1248.5
2001,159,1171.3
2002,159,2085.2
2003,159,2328.3
2004,159,1386.5
2005,159,1383.9
2006,159,1528.3
2007,159,1276.5
2008,159,1168.3
2009,159,1772.9
2010,159,1441.9
2011,159,1478.6
2012,159,1983.3
2013,159,1130.1
2014,159,1693.1
2015,159,1396.7
2016,159,1760.2
2017,159,1014.4
2018,159,1778.6
2019,159,1623.2
2020,159,2281.6
2021,159,1807.8
2022,159,991.9
2023,159,2191.4
