기온분석,,,,
[검색조건],,,,
자료구분 : 년,,,,
자료형태 : 기본,,,,
지역/지점 : 부산,,,,
기간 : 1904~2023,,,,
년,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
1904,159,,,
1905,159,13.9,11,17.9
1906,159,13,9.5,16.8
1907,159,13.5,9.8,17.6
1908,159,13.3,9.7,17.2
1909,159,13.4,9.7,17.8
1910,159,13,9.5,16.7
1911,159,13.4,10.1,17.2
1912,159,13.3,9.6,17.3
1913,159,12.8,8.9,17
1914,159,14.2,10.8,18
1915,159,13.7,10.4,17.5
1916,159,13.9,10.4,17.7
1917,159,12.4,8.8,16.5
1918,159,12.8,9.2,17.5
1919,159,13.5,9.9,18.3
1920,159,13.9,10.5,18
1921,159,13.3,9.8,17.3
1922,159,13.9,10.3,18.2
1923,159,13.4,9.8,17.7
1924,159,13.3,9.4,18
1925,159,13.4,9.6,18
1926,159,13,9,17.9
1927,159,13.4,9.6,18.4
1928,159,13.5,9.8,18.5
1929,159,13.8,10.1,18.6
1930,159,14.2,10.7,18.5
1931,159,13.6,10.1,17.9
1932,159,13.7,10,18.2
1933,159,13.7,10.3,17.9
1934,159,12.9,9.9,17.1
1935,159,13.7,10.8,17.9
1936,159,12.5,9.5,16.8
1937,159,14.1,11,18.4
1938,159,13.6,10.5,18.2
1939,159,14.1,10.9,18.9
1940,159,13.8,10.2,18.4
1941,159,13.8,10.4,18.5
1942,159,13.8,10.3,18.6
1943,159,13.8,10.4,18.7
1944,159,13.7,10.2,19
1945,159,13.2,9.7,18.2
1946,159,14,10.6,18.7
1947,159,12.6,9,17.5
1948,159,14.3,10.9,18.9
1949,159,13.7,10.4,18.2
1950,159,14,10.7,18.5
1951,159,14.1,10.9,18.5
1952,159,13.6,10.5,17.8
1953,159,13.9,10.8,18.1
1954,159,14.1,11,18
1955,159,14.1,10.9,18.3
1956,159,12.8,9.6,17
1957,159,13.4,10.2,17.7
1958,159,14.2,10.9,18.4
1959,159,14.6,11.3,18.6
1960,159,14.6,11.1,18.7
1961,159,14.8,11.4,18.6
1962,159,14,10.4,18.1
1963,159,13.2,10,17.2
1964,159,14.6,11.4,18.5
1965,159,13.6,10.2,18
1966,159,14,10.9,18.1
1967,159,14,10.8,18
1968,159,13.7,10.6,17.8
1969,159,13.4,10.4,17.4
1970,159,13.5,10.6,17.4
1971,159,13.9,10.9,17.9
1972,159,14.1,11.1,17.9
1973,159,14.5,11.2,18.5
1974,159,13.6,10.4,17.7
1975,159,14.5,11.6,18.3
1976,159,13.7,10.3,17.7
1977,159,14.2,10.8,18.4
1978,159,14.9,11.4,19.3
1979,159,14.8,11.4,18.9
1980,159,13.3,9.9,17.4
1981,159,13.6,10,18
1982,159,14.4,10.9,18.8
1983,159,14.3,10.8,18.6
1984,159,13.9,10.4,18.2
1985,159,14.2,10.9,18.4
1986,159,13.7,10.1,18.4
1987,159,14.3,10.9,18.8
1988,159,14.2,10.8,18.7
1989,159,14.9,11.7,19.3
1990,159,15.5,12.3,19.6
1991,159,14.4,11.2,18.6
1992,159,14.8,11.5,18.8
1993,159,14,10.7,18.2
1994,159,15.6,12.2,20
1995,159,14.5,11,19.1
1996,159,14.5,10.9,19.1
1997,159,15.2,11.7,19.8
1998,159,15.8,12.8,19.7
1999,159,15,11.8,19.2
2000,159,14.9,11.6,19.2
2001,159,15.3,12,20
2002,159,14.7,11.4,18.9
2003,159,14.3,11.2,18.5
2004,159,14.9,11.5,19.3
2005,159,13.8,10.5,18.1
2006,159,14.7,11.4,18.9
2007,159,15.3,12.4,19.1
2008,159,15,12,18.8
2009,159,15.2,12.1,19.2
2010,159,14.9,11.7,19
2011,159,14.6,11.3,18.8
2012,159,14.5,11.3,18.6
2013,159,15.3,11.8,19.5
2014,159,15.1,12,19.2
2015,159,15.4,12.2,19.5
2016,159,15.7,12.5,19.8
2017,159,15.2,11.7,19.6
2018,159,15.1,11.8,19.2
2019,159,15.7,12.5,19.8
2020,159,15.2,11.9,19.4
2021,159,15.7,12.4,19.9
2022,159,15.4,12,19.8
2023,159,16,12.8,20.2
			,,,,
