강수분석,,
[검색조건],,
자료구분 : 년,,
자료형태 : 기본,,
지역/지점 : 서울,,
기간 : 1904~2023,,
년,지점,강수량(mm)
1907,108,126.6
1908,108,1066.3
1909,108,827
1910,108,1020.9
1911,108,1067
1912,108,1129.3
1913,108,917.5
1914,108,1262.6
1915,108,1578.3
1916,108,1710.3
1917,108,981.7
1918,108,1132.3
1919,108,1176.3
1920,108,1674.4
1921,108,971.9
1922,108,1552.8
1923,108,1194.7
1924,108,1001
1925,108,1934.1
1926,108,1822.5
1927,108,1269.7
1928,108,1054.3
1929,108,1130.2
1930,108,1626.6
1931,108,1388.3
1932,108,941.2
1933,108,1400.8
1934,108,1244.6
1935,108,1202.3
1936,108,1531.6
1937,108,1062.7
1938,108,1058.8
1939,108,638.7
1940,108,2145.1
1941,108,1063.7
1942,108,1131
1943,108,642.9
1944,108,1089.1
1945,108,1561.7
1946,108,1519.4
1947,108,1496.4
1948,108,1473.3
1949,108,623.5
1950,108,798.2
1951,108,48.3
1952,108,1073.9
1953,108,1372.2
1954,108,1385.8
1955,108,1230.7
1956,108,1701.1
1957,108,1220.3
1958,108,1325.4
1959,108,1370.8
1960,108,1188.4
1961,108,1436.6
1962,108,986.2
1963,108,1626.6
1964,108,1794
1965,108,1216.3
1966,108,2018.9
1967,108,1248.8
1968,108,1288.2
1969,108,1736.8
1970,108,1708.2
1971,108,1359.7
1972,108,1769.6
1973,108,928.1
1974,108,1250.7
1975,108,1067.4
1976,108,1109.5
1977,108,1147.5
1978,108,1160.9
1979,108,1279.4
1980,108,1242.4
1981,108,1216.2
1982,108,949.3
1983,108,1205.1
1984,108,1249.5
1985,108,1544.6
1986,108,1247.4
1987,108,1751.4
1988,108,760.8
1989,108,1437.1
1990,108,2355.5
1991,108,1158.2
1992,108,1454.9
1993,108,1292.7
1994,108,1055.8
1995,108,1598.6
1996,108,1256.6
1997,108,1210.2
1998,108,2349.1
1999,108,1733.1
2000,108,1186.8
2001,108,1386
2002,108,1388
2003,108,2012
2004,108,1499.1
2005,108,1358.4
2006,108,1681.9
2007,108,1212.3
2008,108,1356.3
2009,108,1564
2010,108,2043.5
2011,108,2039.3
2012,108,1646.3
2013,108,1403.8
2014,108,808.9
2015,108,792.1
2016,108,991.7
2017,108,1233.2
2018,108,1284.1
2019,108,891.3
2020,108,1651.1
2021,108,1186.5
2022,108,1775.3
2023,108,1598.8
