강수분석,,
[검색조건],,
자료구분 : 년,,
자료형태 : 기본,,
지역/지점 : 울산,,
기간 : 1904~2023,,
년,지점,강수량(mm)
1932,152,
1933,152,
1934,152,
1935,152,
1936,152,
1937,152,
1938,152,
1939,152,
1940,152,
1941,152,
1942,152,
1943,152,
1944,152,
1945,152,894.3
1946,152,1252.2
1947,152,1082.7
1948,152,1640.2
1949,152,1049.5
1950,152,1157.6
1951,152,924.9
1952,152,993.8
1953,152,1115.2
1954,152,1563.7
1955,152,966.4
1956,152,1650.1
1957,152,1321
1958,152,1481.6
1959,152,1448.4
1960,152,994.9
1961,152,1625.5
1962,152,1091.6
1963,152,1526.8
1964,152,950.1
1965,152,1199.2
1966,152,1115.3
1967,152,1082.1
1968,152,939.7
1969,152,1936.5
1970,152,1813.9
1971,152,832.3
1972,152,1932.3
1973,152,956.9
1974,152,1383.3
1975,152,1306.5
1976,152,1027
1977,152,1024.9
1978,152,1147.1
1979,152,1396
1980,152,1536
1981,152,1064
1982,152,997.1
1983,152,1286.3
1984,152,1308.5
1985,152,1746.9
1986,152,1001.7
1987,152,1265.5
1988,152,1042.3
1989,152,1371.3
1990,152,1232.8
1991,152,2058.9
1992,152,1155.4
1993,152,1649.4
1994,152,921.4
1995,152,693
1996,152,1015
1997,152,1198.6
1998,152,1796
1999,152,1864.9
2000,152,1027.1
2001,152,869.1
2002,152,1559.8
2003,152,1864.2
2004,152,1250.1
2005,152,1135.7
2006,152,1393.9
2007,152,1135.8
2008,152,1112.3
2009,152,1133.2
2010,152,1161.6
2011,152,1233.2
2012,152,1458.1
2013,152,858.3
2014,152,1398.7
2015,152,1044.6
2016,152,1693.9
2017,152,671.4
2018,152,1416.1
2019,152,1450.1
2020,152,1557.9
2021,152,1337
2022,152,926.1
2023,152,1642.9
