기온분석,,,,
[검색조건],,,,
자료구분 : 년,,,,
자료형태 : 기본,,,,
지역/지점 : 울산,,,,
기간 : 1904~2023,,,,
년,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
1932,152,,,
1933,152,,,
1934,152,,,
1935,152,,,
1936,152,,,
1937,152,,,
1938,152,,,
1939,152,,,
1940,152,,,
1941,152,,,
1942,152,,,
1943,152,,,
1944,152,,,
1945,152,,,
1946,152,13.3,8.8,18.9
1947,152,11.8,7.3,17.5
1948,152,13.3,8.9,18.8
1949,152,12.9,8.4,18.4
1950,152,13.2,8.7,18.9
1951,152,13.3,8.6,19.6
1952,152,12.9,8.2,18.8
1953,152,13.2,8.9,19.2
1954,152,13.3,9.4,18.5
1955,152,13.4,9,18.7
1956,152,12.2,7.8,17.4
1957,152,12.6,8.2,18
1958,152,13.4,9.1,18.7
1959,152,13.9,9.8,19.1
1960,152,13.8,9.4,19.1
1961,152,14.1,9.7,19.1
1962,152,13.3,8.5,19
1963,152,12.4,8.1,17.7
1964,152,13.7,9.4,19
1965,152,13,8,18.7
1966,152,13.3,8.6,18.7
1967,152,13.2,8.7,18.6
1968,152,13,8.5,18.6
1969,152,12.8,8.5,18.2
1970,152,12.9,8.8,18.1
1971,152,13.3,8.6,18.8
1972,152,13.3,8.9,18.4
1973,152,13.8,9.1,19
1974,152,12.9,8.2,18.1
1975,152,13.8,9.8,18.5
1976,152,12.9,8.5,18
1977,152,13.6,9.3,18.7
1978,152,14.4,9.6,19.8
1979,152,14.1,9.3,19.4
1980,152,12.7,8.2,17.9
1981,152,13.1,8.3,18.6
1982,152,13.9,9.3,19.3
1983,152,13.7,9.1,19
1984,152,13.3,8.7,18.5
1985,152,13.7,9.4,18.5
1986,152,13.1,8.4,18.5
1987,152,13.8,9.1,19.3
1988,152,13.5,9,18.9
1989,152,14.2,9.9,19.3
1990,152,14.9,10.7,19.9
1991,152,13.7,9.5,18.7
1992,152,14.2,10,19.2
1993,152,13.1,8.9,18.1
1994,152,14.8,10.2,20.3
1995,152,13.7,9.2,19.2
1996,152,13.7,9.3,19
1997,152,14.5,9.9,19.8
1998,152,15.1,11.2,19.5
1999,152,14.4,10.3,19
2000,152,14.3,10.1,19.2
2001,152,14.6,10.5,19.4
2002,152,14.4,10.2,19.3
2003,152,14.3,10.3,19.1
2004,152,15.2,10.7,20.5
2005,152,14.3,10,19.4
2006,152,14.6,10.4,19.6
2007,152,15,10.8,19.9
2008,152,14.2,10,19.3
2009,152,14.3,10,19.5
2010,152,14,9.7,19.2
2011,152,13.7,9.4,18.8
2012,152,13.7,9.6,18.7
2013,152,14.8,10.3,20.2
2014,152,14.7,10.6,19.7
2015,152,15,10.8,19.8
2016,152,14.8,10.8,19.4
2017,152,14.5,10.1,19.4
2018,152,14.3,10.2,19
2019,152,14.9,10.7,19.7
2020,152,14.6,10.6,19.3
2021,152,14.9,10.8,19.6
2022,152,14.7,10.5,19.5
2023,152,15,10.8,19.8
			,,,,
