강수분석,,
[검색조건],,
자료구분 : 년,,
자료형태 : 기본,,
지역/지점 : 인천,,
기간 : 1904~2023,,
년,지점,강수량(mm)
1904,112,672.2
1905,112,1400.4
1906,112,871.6
1907,112,667.3
1908,112,897
1909,112,634.4
1910,112,871.4
1911,112,857.2
1912,112,899.3
1913,112,805.6
1914,112,1068
1915,112,1351.6
1916,112,1285.8
1917,112,766.7
1918,112,1051
1919,112,852.1
1920,112,930.6
1921,112,847.8
1922,112,1609
1923,112,964.7
1924,112,826
1925,112,1670.9
1926,112,1343.9
1927,112,970.9
1928,112,911.1
1929,112,934.3
1930,112,1422.7
1931,112,1183.3
1932,112,809.5
1933,112,1225.3
1934,112,1151.7
1935,112,1157.3
1936,112,1296.7
1937,112,919.5
1938,112,961
1939,112,699.9
1940,112,1885.9
1941,112,1007.7
1942,112,830.2
1943,112,611.2
1944,112,873
1945,112,1506.6
1946,112,1290.5
1947,112,1307.5
1948,112,1219.9
1949,112,601.3
1950,112,189.9
1951,112,107
1952,112,1059.8
1953,112,1074
1954,112,1239.7
1955,112,1045.7
1956,112,1360.7
1957,112,945.4
1958,112,1095.9
1959,112,1245.4
1960,112,1002.9
1961,112,1493.3
1962,112,1092.5
1963,112,1270.5
1964,112,1377.4
1965,112,1033.6
1966,112,1358.4
1967,112,927.2
1968,112,1066.8
1969,112,1478.5
1970,112,1570.9
1971,112,1149.2
1972,112,1527.5
1973,112,739.1
1974,112,1135.5
1975,112,878.8
1976,112,1060.8
1977,112,1073.1
1978,112,885
1979,112,1090
1980,112,1058.2
1981,112,1181.1
1982,112,857.5
1983,112,932.7
1984,112,1110.7
1985,112,1227.2
1986,112,1046.1
1987,112,1619
1988,112,802.4
1989,112,1046.5
1990,112,2009.8
1991,112,1072.6
1992,112,1060
1993,112,1170.4
1994,112,1052.5
1995,112,1326.2
1996,112,928.6
1997,112,1257.9
1998,112,1638.1
1999,112,1472.5
2000,112,1159.4
2001,112,1144.5
2002,112,1033.7
2003,112,1702.2
2004,112,1307.5
2005,112,1155.8
2006,112,1300.1
2007,112,1120
2008,112,1137.4
2009,112,1382.1
2010,112,1777.7
2011,112,1725.5
2012,112,1415.1
2013,112,1186.6
2014,112,788.1
2015,112,652
2016,112,864.3
2017,112,1028.9
2018,112,1134.4
2019,112,919.5
2020,112,1311.9
2021,112,1071.8
2022,112,1620.5
2023,112,1331.4
